Distribution,ttl,DisParameter 1,DisParameter 2,Replacement Policy,NumberOfItems,CacheCapacity,Lower,Mean,Upper
Zipf,,2,1000,FIFO,1000,300,0.9899350019649692,0.9958816393934179,1.0018282768218665
Zipf,,2,1000,FIFO,1000,400,0.9942436525625534,0.9971774668616097,1.000111281160666
Zipf,,2,1000,FIFO,1000,500,0.9950164557738753,0.9979432662157749,1.0008700766576746
Zipf,,2,1000,FIFO,1000,600,0.9955420378713132,0.9984689158175097,1.0013957937637064
Zipf,,2,1000,FIFO,1000,700,0.9959546939625664,0.9988814858458636,1.0018082777291608
Zipf,,2,1000,FIFO,1000,800,0.9962019762927736,0.9991298594961635,1.0020577426995534
Zipf,,2,1000,FIFO,1000,900,0.996416048030985,0.9993460904545892,1.0022761328781935
Zipf,,2,1000,LRU,1000,100,0.9855599094078781,0.9914883282619453,0.9974167471160126
Zipf,,2,1000,LRU,1000,200,0.9899362400454942,0.9958837169944595,1.0018311939434248
Zipf,,2,1000,LRU,1000,300,0.991397858240589,0.9973565405892553,1.0033152229379214
Zipf,,2,1000,LRU,1000,400,0.9920794542638117,0.9980428567310997,1.0040062591983878
Zipf,,2,1000,LRU,1000,500,0.9957901068554218,0.9987180663504704,1.001646025845519
Zipf,,2,1000,LRU,1000,600,0.9960890555176288,0.9990178508560091,1.0019466461943896
Zipf,,2,1000,LRU,1000,700,0.9962571939740867,0.9991862826117902,1.0021153712494937
Zipf,,2,1000,LRU,1000,800,0.9964068932173247,0.999336366118408,1.0022658390194914
Zipf,,2,1000,LRU,1000,900,0.9964239097212335,0.9993535141907682,1.002283118660303
Zipf,,2,1000,LFU,1000,100,0.9878078155583585,0.9937423224382222,0.999676829318086
Zipf,,2,1000,LFU,1000,200,0.9908263907250264,0.9967832265453428,1.002740062365659
Zipf,,2,1000,LFU,1000,300,0.9919102146546668,0.9978704793336576,1.0038307440126484
Zipf,,2,1000,LFU,1000,400,0.9924312257003176,0.9983947015890506,1.0043581774777837
Zipf,,2,1000,LFU,1000,500,0.9958954915503164,0.998823194859872,1.0017508981694276
Zipf,,2,1000,LFU,1000,600,0.9961480415191784,0.9990769626408667,1.002005883762555
Zipf,,2,1000,LFU,1000,700,0.9962508217147863,0.9991802792764876,1.0021097368381888
Zipf,,2,1000,LFU,1000,800,0.9963991022890301,0.9993286828523888,1.0022582634157475
Zipf,,2,1000,LFU,1000,900,0.9964239097212335,0.9993535141907682,1.002283118660303
